BANCO DE DADOS AGROCLIMATOLÓGICO;;;;;;;;;;;;;;;;;;
;Estação (localidade):;;;Aimores;;;;;;;;;;;;;;
Lat.:;Lat.:;-19,494872;;;Long.:;-41,077647;;;;Altitude: ;;79,93;;m;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Data;Tx;Tn;Tmed;UR;Prec;Evap;Eto;Insolação;Txm;Tnm;Tmed-med;URmed;PrecSOM;Evapmed;Etomed;Insolaçãomed;Tx Abs;Tn Abs
26/06/1976;31;17;22,6;76,75;0;2,4;;6,5;;;;;;;;;;
27/06/1976;30;16;22,2;69;0;2,8;;7,4;;;;;;;;;;
28/06/1976;32;16;23,2;65,25;0;2,9;;9,1;;;;;;;;;;
29/06/1976;30;18;23,4;69,25;0;3,5;;5,3;;;;;;;;;;
30/06/1976;29;18;23;66,5;0;3,1;;5,2;30,51666667;16,12;22,634;69,34166667;30;3,14;;8,36;34,0;12,5
01/07/1976;25;17;21,6;65,25;0;3,2;;1,4;;;;;;;;;;
02/07/1976;24;17;19,8;78;0;2,8;;0,8;;;;;;;;;;
03/07/1976;24;16;20,1;87,75;1;1,7;;0,2;;;;;;;;;;
04/07/1976;26;16;20,2;88,25;2;1,1;;2,5;;;;;;;;;;
05/07/1976;29;16;21,8;74,5;2;1,3;;10,3;;;;;;;;;;
06/07/1976;29;17;21,8;71,5;0;3,1;;8,5;;;;;;;;;;
07/07/1976;30;17,5;22,5;63,5;0;3,2;;8,5;;;;;;;;;;
08/07/1976;33;16;23,4;65,5;0;3,5;;9,9;;;;;;;;;;
09/07/1976;33;19;25,4;59,5;0;4,4;;10,5;;;;;;;;;;
10/07/1976;30;17;23,6;63,75;0;4,5;;9,8;;;;;;;;;;
11/07/1976;27;19;22,8;66,25;0;4,4;;4,7;;;;;;;;;;
12/07/1976;26;18,5;21,3;76,5;0;3,4;;4,5;;;;;;;;;;
13/07/1976;27;16,5;20,9;72,25;0;2,5;;2,5;;;;;;;;;;
14/07/1976;32;13,4;22,08;59,25;0;2,8;;10,7;;;;;;;;;;
15/07/1976;34;15,1;23,42;55,5;0;4,6;;10,5;;;;;;;;;;
16/07/1976;29;19;22,8;64;0;5,5;;6,7;;;;;;;;;;
17/07/1976;28;18;22,6;61,25;0;4;;5,9;;;;;;;;;;
18/07/1976;27;14;20,8;56,75;0;4,1;;9,4;;;;;;;;;;
19/07/1976;27;13,1;19,62;71,5;0;4,5;;8;;;;;;;;;;
20/07/1976;24;14,1;19,22;81,5;6;3;;0,7;;;;;;;;;;
21/07/1976;23;16;19,8;85;5;1,8;;1;;;;;;;;;;
22/07/1976;27;14;20,6;74,75;1,5;1,5;;5,6;;;;;;;;;;
23/07/1976;29;15;21,8;66;0;2,5;;9,3;;;;;;;;;;
24/07/1976;30;16;21,8;71,75;0;3,1;;4,8;;;;;;;;;;
25/07/1976;30;16;22,4;65,75;0;2,8;;7,1;;;;;;;;;;
26/07/1976;31;15,5;23,3;61,75;0;3,3;;9,1;;;;;;;;;;
27/07/1976;30;17;23,8;62,5;0;4;;9,3;;;;;;;;;;
28/07/1976;29;17;23,4;55,75;0;3,7;;7,6;;;;;;;;;;
29/07/1976;29;19;23,2;62;0;4,1;;3,4;;;;;;;;;;
30/07/1976;29;14;21,8;60,25;4;2,8;;8,3;;;;;;;;;;
31/07/1976;31;14;22,8;57;0;3,1;;10,6;28,4516129;16,21612903;21,94967742;67,89516129;21,5;3,235483871;;6,519354839;34,0;13,1
01/08/1976;30;15,5;23,3;58,75;0;3,7;;9;;;;;;;;;;
02/08/1976;30;15;22,6;65;0;3,8;;9,4;;;;;;;;;;
03/08/1976;31;15,1;23,62;57,25;0;3,8;;10,8;;;;;;;;;;
04/08/1976;29;16;22,6;61;0;4,2;;7,1;;;;;;;;;;
05/08/1976;30;15,1;22,82;61,25;0;3,1;;9,5;;;;;;;;;;
06/08/1976;30;15,1;23,02;59,5;0;4,1;;10,2;;;;;;;;;;
07/08/1976;32;16;23,4;54,5;0;4;;10,6;;;;;;;;;;
08/08/1976;34;17;24,2;66,5;0;4,2;;10,3;;;;;;;;;;
09/08/1976;34;21;26;58,5;0;3,9;;8,8;;;;;;;;;;
10/08/1976;35,1;18;26,62;53,75;0;4,1;;9;;;;;;;;;;
11/08/1976;31;21;25,3;60,5;0;5,8;;7,2;;;;;;;;;;
12/08/1976;32;21;25,6;59;0;4,3;;5,2;;;;;;;;;;
13/08/1976;32;21;26,4;59,5;0;3,9;;3,9;;;;;;;;;;
14/08/1976;28;21;24,2;75,25;0;4,6;;2,1;;;;;;;;;;
15/08/1976;23;18;20,8;64;8;1,6;;0;;;;;;;;;;
16/08/1976;23;15;19,2;74,25;12;3,1;;0,4;;;;;;;;;;
17/08/1976;28;18;23,2;66;0;2,2;;6,8;;;;;;;;;;
18/08/1976;32,5;21;25,7;64,5;0;4,2;;8,1;;;;;;;;;;
19/08/1976;33;19;25,4;62,75;0;3,7;;11,2;;;;;;;;;;
20/08/1976;31;21;24,8;59,5;0;4,6;;10,2;;;;;;;;;;
21/08/1976;30;20;23,8;62;0;4,7;;8,3;;;;;;;;;;
22/08/1976;28;17;22,3;63,25;0;3,8;;8,8;;;;;;;;;;
23/08/1976;31;17;23;70,75;0;3,6;;9,3;;;;;;;;;;
24/08/1976;30;17;23;69,5;0;3,6;;9,7;;;;;;;;;;
25/08/1976;28;18;21,8;81;0;3,8;;4,7;;;;;;;;;;
26/08/1976;29;17;21,6;74,25;6,2;2,8;;7;;;;;;;;;;
27/08/1976;29;16;21,8;71,25;5;3,3;;9,9;;;;;;;;;;
28/08/1976;31;17;23,2;64,5;0;3,8;;10,3;;;;;;;;;;
29/08/1976;31;15,2;23,44;64;0;4,1;;10,7;;;;;;;;;;
30/08/1976;30;20;23;70,5;0;4,7;;7,4;;;;;;;;;;
31/08/1976;29;18;22,4;78,75;0;4,6;;2,5;30,1483871;17,80645161;23,48774194;64,87096774;31,2;3,861290323;;7,690322581;35,1;15,0
01/09/1976;30;18;23,6;59;0;2,7;;8,2;;;;;;;;;;
02/09/1976;32;15;23;62,5;0;5,5;;11,2;;;;;;;;;;
03/09/1976;31;18;23,8;67,25;0;2,5;;8,4;;;;;;;;;;
04/09/1976;32;18;25;59,75;0;4,2;;10,9;;;;;;;;;;
05/09/1976;33;19;25,6;59,75;0;5,3;;9,8;;;;;;;;;;
06/09/1976;29;22,5;24,3;74,75;0;4,8;;0,9;;;;;;;;;;
07/09/1976;28;22;24,8;74,75;0;3,4;;0,3;;;;;;;;;;
08/09/1976;35;20;26,8;69;0;3,3;;8,1;;;;;;;;;;
09/09/1976;34;21;25,4;78,25;0;4,3;;8,8;;;;;;;;;;
10/09/1976;25;20;22,8;92;61,4;3,6;;0;;;;;;;;;;
11/09/1976;27;21;23,6;79,5;3;1,1;;1,6;;;;;;;;;;
12/09/1976;25;19;22;81,5;5;2;;0,1;;;;;;;;;;
13/09/1976;24;20,5;21,9;85,25;0;1,8;;0;;;;;;;;;;
14/09/1976;26;19;22,2;84;4;1,2;;1,5;;;;;;;;;;
15/09/1976;29;19;23,8;72,75;0;2,4;;3,9;;;;;;;;;;
16/09/1976;25;20;22,4;89;5,4;2,6;;0;;;;;;;;;;
17/09/1976;32;19,5;24,3;70,25;10,4;1,4;;10,1;;;;;;;;;;
18/09/1976;30;21,5;24,7;78,75;0;3,2;;1,7;;;;;;;;;;
19/09/1976;29;19;23,9;69,75;10;2;;2,6;;;;;;;;;;
20/09/1976;24;16;20,4;87,25;13,4;3;;0;;;;;;;;;;
21/09/1976;26;18;22,4;83,75;0;1,7;;1,5;;;;;;;;;;
22/09/1976;31;20;25;73,25;0;1,5;;7,5;;;;;;;;;;
23/09/1976;30;19;22,8;77,75;2;3;;6,8;;;;;;;;;;
24/09/1976;31;17;22,6;75,25;41,2;2,4;;9,8;;;;;;;;;;
25/09/1976;28,5;19,5;23,2;70;0;3,2;;6,9;;;;;;;;;;
26/09/1976;30;20,5;24,3;67;0;3,6;;7,7;;;;;;;;;;
27/09/1976;28;20,5;23,5;76,5;0;3,2;;1,5;;;;;;;;;;
28/09/1976;30;21,5;24,1;84,75;3;2,5;;3,1;;;;;;;;;;
29/09/1976;30;19;23,6;73,25;15,2;2,7;;7,5;;;;;;;;;;
30/09/1976;31;19;24,2;70;0;3,3;;9,2;29,18333333;19,4;23,66666667;74,88333333;174;2,913333333;;4,986666667;35,0;15,0
01/10/1976;31;21;24,6;76,25;0;3,9;;5,7;;;;;;;;;;
02/10/1976;28;22;24;69,75;0;3,9;;0,1;;;;;;;;;;
03/10/1976;27;17,5;22,1;70,5;0;3,7;;5;;;;;;;;;;
04/10/1976;30;19;23;69,5;0;3,6;;11,3;;;;;;;;;;
05/10/1976;31,5;20;24,3;63,25;0;4,1;;10,4;;;;;;;;;;
